cfg_dataset,cfg_model,cfg_num_layers,cfg_removal_candidate_sampler,cfg_removal_neighbor_dist,"('inf_mae', 'mean')","('inf_mae', 'std')","('inf_mape', 'mean')","('inf_mape', 'std')","('calced_inf', 'mean')","('calced_inf', 'std')","('actual_inf', 'mean')","('actual_inf', 'std')","('inf_corr', 'mean')","('inf_corr', 'std')"
citeseer_public,GCN,4,group_non_neighbor,1,0.005771205439232282,0.004960694485389281,180.35538102611784,553.6414747532575,0.008148249681107672,0.009639783894972173,0.00827472209930417,0.00838857303426988,0.6474750166193082,0.0
citeseer_public,GCN,4,group_non_neighbor,2,0.004884797372505976,0.0041063228647166,727.2570978192439,2011.3347920359308,0.002167040571221148,0.006349904047830223,0.0006719970703124957,0.00610472237501322,0.4986481001183354,0.0
cora_public,GAT,2,group_neighbor,1,0.017599628522293645,0.007307314201186677,60.4918333443731,22.940732268953546,0.01339154426823365,0.008567787065368421,0.030991172790527294,0.012526746439493738,0.82425830119194,0.0
cora_public,GAT,2,group_neighbor,3,0.03668310903012753,0.011435550265039214,52.4493559107998,7.021280386187747,0.03330285765230651,0.011232302941619322,0.06998596668243404,0.02056588447093577,0.9055072694901822,0.0
cora_public,GAT,2,group_neighbor,4,0.01812178815715014,0.011102942734000375,51.22668068111349,19.965628557257833,0.01845065628178413,0.012790072315720989,0.036572444438934266,0.019807948946449327,0.8539053151003841,0.0
cora_public,GAT,2,group_neighbor,5,0.012906721714534788,0.005617622026208571,62.3781544792683,27.327547085556752,0.009436391707858958,0.007886386465199029,0.022343113422393746,0.009611182609350432,0.8114531790449486,0.0
cora_public,GCN,2,group_neighbor,3,0.004066924145445232,0.002790497144389658,163.07904460686453,319.49518535203606,-0.009549410594627212,0.0038842209649241274,-0.006716804504394476,0.00485369129275364,0.5879389578818502,0.0
cora_public,GCN,2,group_neighbor,4,0.0026452456600963912,0.0020210911513261955,59.18926867579255,101.67943157560357,-0.008370294170454097,0.004555681896787651,-0.008670730590820264,0.00448424993311413,0.7276462374212403,0.0
cora_public,GCN,2,group_neighbor,5,0.0018167880852706603,0.0013085767864959364,605.0537593286589,3912.983580074185,-0.006322531194891746,0.005103913003471568,-0.007233810424804646,0.005201474765219655,0.9204539321262009,0.0
cora_public,GCN,4,group_neighbor,1,0.010880247512832236,0.010613797526678511,262.12710912372427,475.6138808795628,-0.0027905821427702763,0.008552972215833152,0.007951879501342745,0.012434951545158382,0.5269508340387866,0.0
cora_public,GCN,4,group_neighbor,3,0.006837048265151656,0.006994553251584632,238.18721736700562,367.8274034329158,0.00221721027512101,0.008242474343707316,0.004935843944549534,0.006934376846694233,0.2356933895121788,0.0
cora_public,GCN,4,group_neighbor,4,0.013269341974519164,0.015302441725970293,1283.239900798866,6582.767103737154,-0.001773098721168934,0.011073037296049483,0.010160598754882781,0.012369767926581005,0.025951877137624174,0.0
cora_public,GCN,4,group_neighbor,5,0.009303165427409082,0.009502181595961716,388.3192945443895,1107.1090229574172,-0.002524868375621718,0.008814083773960712,0.006427650451660136,0.011262385377406042,0.5425032987084575,0.0
cornell,GCN,2,group_neighbor,1,0.013335860662627944,0.009796963597829928,410.11558157315795,2118.3531756365114,-0.02102807187242431,0.026259087942613824,-0.02120197772979733,0.027712350211591574,0.8108341739898561,0.0
cornell,GCN,2,group_neighbor,2,0.01928982891142367,0.01542018323780889,213.26457495098012,415.32850893419055,0.008032511100172987,0.0303387278220089,-0.004147167205810546,0.03917107098799106,0.8367170410161298,0.0
cornell,GCN,2,group_neighbor,3,0.021184727028012246,0.014539781540440265,200.7904720962387,397.37176949644834,0.014671632274985294,0.035837084617542724,0.009095075130462638,0.04771068577139026,0.8547670950072983,0.0
cornell,GCN,2,group_neighbor,4,0.021429486591368885,0.016565517278556992,221.15894610509207,578.6811256800976,0.012239138446748243,0.0376065569111715,0.00426069974899291,0.054476309797619006,0.903969722083378,0.0
